ref_date,selic,ref_year,period_label
2002-08-06,0.1787,2001-01-01,2001-2004
2002-08-07,0.17859999999999998,2001-01-01,2001-2004
2002-08-08,0.1783,2001-01-01,2001-2004
2002-08-09,0.1783,2001-01-01,2001-2004
2002-08-12,0.1783,2001-01-01,2001-2004
2002-08-13,0.1782,2001-01-01,2001-2004
2002-08-14,0.1787,2001-01-01,2001-2004
2002-08-15,0.1787,2001-01-01,2001-2004
2002-08-16,0.1782,2001-01-01,2001-2004
2002-08-19,0.1782,2001-01-01,2001-2004
2002-08-20,0.1787,2001-01-01,2001-2004
2002-08-21,0.1787,2001-01-01,2001-2004
2002-08-22,0.1782,2001-01-01,2001-2004
2002-08-23,0.17809999999999998,2001-01-01,2001-2004
2002-08-26,0.17809999999999998,2001-01-01,2001-2004
2002-08-27,0.17809999999999998,2001-01-01,2001-2004
2002-08-28,0.1787,2001-01-01,2001-2004
2002-08-29,0.1783,2001-01-01,2001-2004
2002-08-30,0.1782,2001-01-01,2001-2004
2002-09-02,0.1787,2001-01-01,2001-2004
2002-09-03,0.1787,2001-01-01,2001-2004
2002-09-04,0.1787,2001-01-01,2001-2004
2002-09-05,0.1788,2001-01-01,2001-2004
2002-09-06,0.1789,2001-01-01,2001-2004
2002-09-09,0.179,2001-01-01,2001-2004
2002-09-10,0.179,2001-01-01,2001-2004
2002-09-11,0.179,2001-01-01,2001-2004
2002-09-12,0.179,2001-01-01,2001-2004
2002-09-13,0.179,2001-01-01,2001-2004
2002-09-16,0.179,2001-01-01,2001-2004
2002-09-17,0.179,2001-01-01,2001-2004
2002-09-18,0.179,2001-01-01,2001-2004
2002-09-19,0.179,2001-01-01,2001-2004
2002-09-20,0.179,2001-01-01,2001-2004
2002-09-23,0.179,2001-01-01,2001-2004
2002-09-24,0.179,2001-01-01,2001-2004
2002-09-25,0.179,2001-01-01,2001-2004
2002-09-26,0.179,2001-01-01,2001-2004
2002-09-27,0.179,2001-01-01,2001-2004
2002-09-30,0.179,2001-01-01,2001-2004
2002-10-01,0.179,2001-01-01,2001-2004
2002-10-02,0.179,2001-01-01,2001-2004
2002-10-03,0.179,2001-01-01,2001-2004
2002-10-04,0.179,2001-01-01,2001-2004
2002-10-07,0.179,2001-01-01,2001-2004
2002-10-08,0.179,2001-01-01,2001-2004
2002-10-09,0.179,2001-01-01,2001-2004
2002-10-10,0.179,2001-01-01,2001-2004
2002-10-11,0.179,2001-01-01,2001-2004
2002-10-14,0.179,2001-01-01,2001-2004
2002-10-15,0.209,2001-01-01,2001-2004
2002-10-16,0.209,2001-01-01,2001-2004
2002-10-17,0.209,2001-01-01,2001-2004
2002-10-18,0.209,2001-01-01,2001-2004
2002-10-21,0.209,2001-01-01,2001-2004
2002-10-22,0.209,2001-01-01,2001-2004
2002-10-23,0.209,2001-01-01,2001-2004
2002-10-24,0.209,2001-01-01,2001-2004
2002-10-25,0.209,2001-01-01,2001-2004
2002-10-28,0.209,2001-01-01,2001-2004
2002-10-29,0.209,2001-01-01,2001-2004
2002-10-30,0.209,2001-01-01,2001-2004
2002-10-31,0.209,2001-01-01,2001-2004
2002-11-01,0.209,2001-01-01,2001-2004
2002-11-04,0.209,2001-01-01,2001-2004
2002-11-05,0.209,2001-01-01,2001-2004
2002-11-06,0.209,2001-01-01,2001-2004
2002-11-07,0.209,2001-01-01,2001-2004
2002-11-08,0.209,2001-01-01,2001-2004
2002-11-11,0.209,2001-01-01,2001-2004
2002-11-12,0.209,2001-01-01,2001-2004
2002-11-13,0.209,2001-01-01,2001-2004
2002-11-14,0.209,2001-01-01,2001-2004
2002-11-18,0.209,2001-01-01,2001-2004
2002-11-19,0.209,2001-01-01,2001-2004
2002-11-20,0.209,2001-01-01,2001-2004
2002-11-21,0.21899999999999997,2001-01-01,2001-2004
2002-11-22,0.21899999999999997,2001-01-01,2001-2004
2002-11-25,0.21899999999999997,2001-01-01,2001-2004
2002-11-26,0.21899999999999997,2001-01-01,2001-2004
2002-11-27,0.21899999999999997,2001-01-01,2001-2004
2002-11-28,0.21899999999999997,2001-01-01,2001-2004
2002-11-29,0.21899999999999997,2001-01-01,2001-2004
2002-12-02,0.21899999999999997,2001-01-01,2001-2004
2002-12-03,0.21899999999999997,2001-01-01,2001-2004
2002-12-04,0.21899999999999997,2001-01-01,2001-2004
2002-12-05,0.21899999999999997,2001-01-01,2001-2004
2002-12-06,0.21899999999999997,2001-01-01,2001-2004
2002-12-09,0.21899999999999997,2001-01-01,2001-2004
2002-12-10,0.21899999999999997,2001-01-01,2001-2004
2002-12-11,0.21899999999999997,2001-01-01,2001-2004
2002-12-12,0.21899999999999997,2001-01-01,2001-2004
2002-12-13,0.21899999999999997,2001-01-01,2001-2004
2002-12-16,0.21899999999999997,2001-01-01,2001-2004
2002-12-17,0.21899999999999997,2001-01-01,2001-2004
2002-12-18,0.21899999999999997,2001-01-01,2001-2004
2002-12-19,0.249,2001-01-01,2001-2004
2002-12-20,0.249,2001-01-01,2001-2004
2002-12-23,0.249,2001-01-01,2001-2004
2002-12-24,0.249,2001-01-01,2001-2004
2002-12-26,0.249,2001-01-01,2001-2004
2002-12-27,0.249,2001-01-01,2001-2004
2002-12-30,0.249,2001-01-01,2001-2004
2002-12-31,0.249,2001-01-01,2001-2004
2003-01-02,0.249,2001-01-01,2001-2004
2003-01-03,0.249,2001-01-01,2001-2004
2003-01-06,0.249,2001-01-01,2001-2004
2003-01-07,0.249,2001-01-01,2001-2004
2003-01-08,0.249,2001-01-01,2001-2004
2003-01-09,0.249,2001-01-01,2001-2004
2003-01-10,0.249,2001-01-01,2001-2004
2003-01-13,0.249,2001-01-01,2001-2004
2003-01-14,0.249,2001-01-01,2001-2004
2003-01-15,0.249,2001-01-01,2001-2004
2003-01-16,0.249,2001-01-01,2001-2004
2003-01-17,0.249,2001-01-01,2001-2004
2003-01-20,0.249,2001-01-01,2001-2004
2003-01-21,0.249,2001-01-01,2001-2004
2003-01-22,0.249,2001-01-01,2001-2004
2003-01-23,0.254,2001-01-01,2001-2004
2003-01-24,0.254,2001-01-01,2001-2004
2003-01-27,0.254,2001-01-01,2001-2004
2003-01-28,0.254,2001-01-01,2001-2004
2003-01-29,0.254,2001-01-01,2001-2004
2003-01-30,0.2539,2001-01-01,2001-2004
2003-01-31,0.25379999999999997,2001-01-01,2001-2004
2003-02-03,0.25379999999999997,2001-01-01,2001-2004
2003-02-04,0.254,2001-01-01,2001-2004
2003-02-05,0.2539,2001-01-01,2001-2004
2003-02-06,0.25379999999999997,2001-01-01,2001-2004
2003-02-07,0.25370000000000004,2001-01-01,2001-2004
2003-02-10,0.2536,2001-01-01,2001-2004
2003-02-11,0.2535,2001-01-01,2001-2004
2003-02-12,0.2534,2001-01-01,2001-2004
2003-02-13,0.2532,2001-01-01,2001-2004
2003-02-14,0.25329999999999997,2001-01-01,2001-2004
2003-02-17,0.2532,2001-01-01,2001-2004
2003-02-18,0.2529,2001-01-01,2001-2004
2003-02-19,0.253,2001-01-01,2001-2004
2003-02-20,0.2626,2001-01-01,2001-2004
2003-02-21,0.26289999999999997,2001-01-01,2001-2004
2003-02-24,0.2632,2001-01-01,2001-2004
2003-02-25,0.2631,2001-01-01,2001-2004
2003-02-26,0.26289999999999997,2001-01-01,2001-2004
2003-02-27,0.2627,2001-01-01,2001-2004
2003-02-28,0.26280000000000003,2001-01-01,2001-2004
2003-03-05,0.26289999999999997,2001-01-01,2001-2004
