ref_date,ticker,country,cumret_adjusted_prices
2017-03-01,BA,USA,1.5131254531223408
2017-03-02,BA,USA,1.5055561494954413
2017-03-03,BA,USA,1.4988917070019117
2017-03-06,BA,USA,1.4886072832734023
2017-03-07,BA,USA,1.4975754949626217
2017-03-08,BA,USA,1.4952715849927676
2017-03-09,BA,USA,1.4856455356346536
2017-03-10,BA,USA,1.4702597729406006
2017-03-13,BA,USA,1.4731394932335984
2017-03-14,BA,USA,1.4705067964050758
2017-03-15,BA,USA,1.470342196213688
2017-03-16,BA,USA,1.4660641045598706
2017-03-17,BA,USA,1.481778654112592
2017-03-20,BA,USA,1.4759367814551234
2017-03-21,BA,USA,1.4477165942270689
2017-03-22,BA,USA,1.456108590867423
2017-03-23,BA,USA,1.4584123688614983
2017-03-24,BA,USA,1.4465645688550597
2017-03-27,BA,USA,1.4488684788249138
2017-03-28,BA,USA,1.4592350706733381
2017-03-29,BA,USA,1.461456416595941
2017-03-30,BA,USA,1.4643362688647175
2017-03-31,BA,USA,1.4551214384367444
2017-04-03,BA,USA,1.4533934707658127
2017-04-04,BA,USA,1.4702597729406002
2017-04-05,BA,USA,1.4569312926792628
2017-04-06,BA,USA,1.4593170980190888
2017-04-07,BA,USA,1.4714942215856965
2017-04-10,BA,USA,1.4608807382485756
2017-04-11,BA,USA,1.4691903116158422
2017-04-12,BA,USA,1.4484571279189933
2017-04-13,BA,USA,1.4449190332556001
2017-04-17,BA,USA,1.47289273372068
2017-04-18,BA,USA,1.463266684362566
2017-04-19,BA,USA,1.4677917994808585
2017-04-20,BA,USA,1.4751963797389767
2017-04-21,BA,USA,1.4840821593567233
2017-04-24,BA,USA,1.497904545772847
2017-04-25,BA,USA,1.5098341091734788
2017-04-26,BA,USA,1.49502469350407
2017-04-27,BA,USA,1.5074484358094316
2017-04-28,BA,USA,1.5206950207007968
2017-05-01,BA,USA,1.5006194107212847
2017-05-02,BA,USA,1.509258571600278
2017-05-03,BA,USA,1.5088468159686361
2017-05-04,BA,USA,1.5062143918900566
2017-05-05,BA,USA,1.5221754282057525
2017-05-08,BA,USA,1.530485670250299
2017-05-09,BA,USA,1.5378079416143378
2017-05-10,BA,USA,1.51865720029627
2017-05-11,BA,USA,1.524957943938431
2017-05-12,BA,USA,1.51923717225564
2017-05-15,BA,USA,1.512107277585245
2017-05-16,BA,USA,1.5146775410719842
2017-05-17,BA,USA,1.4821787254886114
2017-05-18,BA,USA,1.4707379739777022
2017-05-19,BA,USA,1.4985938024754946
2017-05-22,BA,USA,1.5227192827936429
2017-05-23,BA,USA,1.521227199831451
2017-05-24,BA,USA,1.5358185915141913
2017-05-25,BA,USA,1.550907382310665
2017-05-26,BA,USA,1.546927599908986
2017-05-30,BA,USA,1.5493319258497784
2017-05-31,BA,USA,1.5555498414931304
2017-06-01,BA,USA,1.5529798419579492
2017-06-02,BA,USA,1.5771053222760976
2017-06-05,BA,USA,1.5664933170677
2017-06-06,BA,USA,1.5482541500509528
2017-06-07,BA,USA,1.5594463911702785
2017-06-08,BA,USA,1.5746180187639467
2017-06-09,BA,USA,1.575447029018016
2017-06-12,BA,USA,1.57519826347326
2017-06-13,BA,USA,1.584234680244992
2017-06-14,BA,USA,1.594929654226363
2017-06-15,BA,USA,1.6203816846864783
2017-06-16,BA,USA,1.6285893551556985
2017-06-19,BA,USA,1.6504763063048375
2017-06-20,BA,USA,1.6442582586857064
2017-06-21,BA,USA,1.6512222158101546
2017-06-22,BA,USA,1.653460744979164
2017-06-23,BA,USA,1.6765915414488544
2017-06-26,BA,USA,1.657937662543019
2017-06-27,BA,USA,1.6489008498439506
2017-06-28,BA,USA,1.6549528279413561
2017-06-29,BA,USA,1.637045527218117
2017-06-30,BA,USA,1.6394497299815158
2017-07-03,BA,USA,1.6464138190817428
2017-07-05,BA,USA,1.6731094309108516
2017-07-06,BA,USA,1.6703734938297237
2017-07-07,BA,USA,1.6777521540448748
2017-07-10,BA,USA,1.6909340268126747
2017-07-11,BA,USA,1.7100851728564643
2017-07-12,BA,USA,1.711494427819847
2017-07-13,BA,USA,1.709753306562956
2017-07-14,BA,USA,1.7286555462878257
