NU_ANO_CENSO,NO_IES,QT_DOC_TOTAL
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",679
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",2098
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",1075
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO AMAZONAS",299
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ",631
2020,FACULDADE PITÁGORAS DE BELO HORIZONTE,479
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",818
2020,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL INACIANA PE SABÓIA DE MEDEIROS,303
2020,CENTRO UNIVERSITÁRIO UNIFAS,334
2020,CENTRO UNIVERSITÁRIO CHRISTUS,337
2020,Centro Universitário Fametro,323
2020,CENTRO UNIVERSITARIO AVANTIS,322
2020,CENTRO UNIVERSITÁRIO INTA,365
2020,CENTRO UNIVERSITÁRIO MAX PLANCK,254
2020,Centro Universitário CEUNI - FAMETRO,348
2020,CENTRO UNIVERSITÁRIO ATENEU,280
2020,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,1648
2020,CENTRO UNIVERSITÁRIO REDENTOR,280
2020,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU,596
2020,UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ,420
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS",313
2020,"Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano",324
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA",1019
